,cases,deaths,tests_negative,tests_total,recovered
2020-01-25,1,0,0,0,0
2020-01-26,1,0,0,0,0
2020-01-27,1,0,0,0,0
2020-01-28,1,0,0,0,0
2020-01-29,2,0,0,0,0
2020-01-30,3,0,0,79,0
2020-01-31,3,0,0,79,0
2020-02-01,4,0,0,162,0
2020-02-02,4,0,0,162,0
2020-02-03,4,0,0,162,0
2020-02-04,4,0,0,162,0
2020-02-05,4,0,0,162,0
2020-02-06,4,0,0,162,0
2020-02-07,4,0,0,162,0
2020-02-08,4,0,0,162,0
2020-02-09,4,0,0,162,0
2020-02-10,4,0,0,162,0
2020-02-11,4,0,0,162,0
2020-02-12,4,0,0,162,0
2020-02-13,4,0,0,162,0
2020-02-14,4,0,0,162,0
2020-02-15,4,0,0,162,0
2020-02-16,4,0,0,162,0
2020-02-17,4,0,0,162,0
2020-02-18,4,0,0,162,0
2020-02-19,4,0,0,162,0
2020-02-20,4,0,0,162,0
2020-02-21,4,0,0,162,0
2020-02-22,4,0,0,162,0
2020-02-23,4,0,0,162,0
2020-02-24,4,0,0,162,0
2020-02-25,4,0,0,162,0
2020-02-26,4,0,0,162,0
2020-02-27,4,0,0,162,0
2020-02-28,4,0,0,162,0
2020-02-29,4,0,0,162,0
2020-03-01,9,0,0,162,0
2020-03-02,9,0,0,162,0
2020-03-03,9,0,0,162,0
2020-03-04,10,0,0,162,0
2020-03-05,10,0,0,162,0
2020-03-06,10,0,0,162,0
2020-03-07,11,0,0,162,0
2020-03-08,12,0,0,162,0
2020-03-09,15,0,0,162,0
2020-03-10,18,0,0,162,0
2020-03-11,21,0,0,162,0
2020-03-12,27,0,0,162,0
2020-03-13,36,0,0,162,0
2020-03-14,49,0,0,162,0
2020-03-15,57,0,0,162,0
2020-03-16,71,0,0,11700,0
2020-03-17,94,0,0,11700,0
2020-03-18,121,0,0,15200,0
2020-03-19,150,0,0,17180,0
2020-03-20,178,0,0,19337,0
2020-03-21,229,0,0,20500,0
2020-03-22,296,0,0,22900,0
2020-03-23,355,0,0,23700,96
2020-03-24,411,0,0,23700,96
2020-03-25,466,0,0,23700,96
2020-03-26,520,2,0,26900,149
2020-03-27,574,3,0,27800,149
2020-03-28,685,4,0,27800,149
2020-03-29,769,4,0,39000,149
2020-03-30,821,4,0,42000,248
2020-03-31,917,4,0,45000,291
2020-04-01,968,5,0,47000,343
2020-04-02,1036,6,0,49000,343
2020-04-03,1085,7,0,51000,343
2020-04-04,1115,8,0,51000,343
2020-04-05,1135,8,0,56000,573
2020-04-06,1158,10,0,57000,620
2020-04-07,1191,11,0,58000,686
2020-04-08,1212,12,0,60000,736
2020-04-09,1228,12,0,62000,806
